id,title,price,hood,link,source,amenities,lat,lon,in_search_area,address,bedrooms,bathrooms,postdate,sqft,L_min_dist,closest_L_stop
7429797221,2 Bedroom / 1 Bath Apartment with Large Kitchen for Rent in Chicago,1795.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-bedroom-bath-apartment-with/7429797221.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: yearly']",41.940949,-87.718969,False,3643 W School St,2,1,2022-01-07 10:51,950ft2,,
7429611359,🔥2BED /2 BATH with laundry IN UNIT!Pet friendly!,1500.0, (Pilsen city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-2bed-bath-with-laundry-in/7429611359.html,craigslist,"['air conditioning', 'application fee details: 30', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'detached garage']",41.867143,-87.686032,False,1141 S Western,2,2,2022-01-06 19:21,,,
7429791135,Modern 2 Bed/1 Bath Apartment for Rent in Chicago,1795.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-modern-bed-bath-apartment-for/7429791135.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: yearly']",41.940949,-87.718969,False,3643 W School St,2,1,2022-01-07 10:40,975ft2,,
7429785024,Newly Rehabbed 2 Bed/1 Bath Apartment for Rent in Chicago (1st Floor),1795.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-newly-rehabbed-bed-bath/7429785024.html,craigslist,"['air conditioning', 'cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'w/d in unit', 'off-street parking', 'rent period: yearly']",41.940949,-87.718969,False,3643 W School St,2,1,2022-01-07 10:29,975ft2,,
7429783766,Roscoe Village Top Floor 2 Bed - Tons of Charm- Free Heat - Laundry,1995.0, (Roscoe Village city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-roscoe-village-top-floor-bed/7429783766.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no parking', 'rent period: yearly']",41.947755,-87.678855,True,3624 N Damen near Addison,2,1,2022-01-07 10:27,1200ft2,,
7429757796,Bright & Sunny 2 bdr Garden Apt in Ravenwood Available Feb 1st sooner,1145.0, (Chicago city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-bright-sunny-bdr-garden-apt-in/7429757796.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no smoking', 'street parking', 'rent period: yearly']",41.964373,-87.670856,True,Paulina near Sunnyside,2,1,2022-01-07 09:36,,,
7429749946,"1362 E 52nd St in Hyde Park-2bd,Free Heat,HDWD,DW,MW,Laundry on Site",1715.0, (Hyde Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-1362-52nd-st-in-hyde-park/7429749946.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry on site', 'street parking']",41.8022,-87.6006,False,52nd St near Hyde Park Blvd,2,1,2022-01-07 09:19,,,
7429749563,"1122 E Hyde Park in Hyde Park-2Bd/1Ba w/HDWD,Exp Brick,SS Appl, WD",1595.0, (Hyde Park city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-1122-hyde-park-in-hyde-park-2bd/7429749563.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'off-street parking']",41.802333,-87.596849,False,E. Hyde Park Blvd. near Woodlawn,2,1,2022-01-07 09:18,,,
7429742604,Charming & Updated 2 BR Smart Home + Free Garage & Parking (2 spots!),2600.0," (Uptown, Chicago, IL city of chicago )",https://chicago.craigslist.org/chc/apa/d/chicago-charming-updated-br-smart-home/7429742604.html,craigslist,"['cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'detached garage']",41.965632,-87.661355,False,N Magnolia Ave near Wilson Ave,2,2,2022-01-07 09:03,1600ft2,,
7429725327,"Spacious, Sun-lit, Vintage 2 Bedroom -- Quiet, Owner-Occupied Building",1250.0, (Ukrainian Village West city of chicago ),https://chicago.craigslist.org/chc/apa/d/chicago-spacious-sun-lit-vintage/7429725327.html,craigslist,"['dogs are OK - wooof', 'flooring: wood', 'apartment', 'laundry in bldg', 'no smoking', 'street parking']",41.896016,-87.694373,False,washtenaw near chicago,2,1,2022-01-07 08:20,1100ft2,,
